feature,importance
num__mkt_volatility_60d,0.17579319401078639
num__mkt_ret_1d,0.148669724049552
num__mkt_ret_20d,0.07506839105453283
num__vol_ratio_60d_vs_mkt,0.07079672721057718
num__sector_ret_1d,0.0602629498238121
num__mkt_ret_60d,0.05588524028141471
num__mkt_ret_120d,0.052727013110728804
num__mkt_volatility_20d,0.04817097367856779
num__sector_volatility_60d,0.0471726596757058
regime_vol__regime_vol_elevated,0.021697021157606463
num__volatility_60d_xsrank,0.020807115304438798
num__idio_vol_60d_vs_mkt_xsrank,0.018851683000287795
num__rel_drawdown_252d_vs_mkt_xsrank,0.014893855885997637
num__ret_5d,0.01476731978020837
num__trailing_max_drawdown_252d_xsrank,0.01035401301511305
num__rel_drawdown_252d_vs_mkt,0.009807586522163743
num__vol_ratio_60d_vs_sector,0.009407965423511465
num__downside_vol_60d_xsrank,0.008915781855978317
num__ret_1d,0.008889899305874801
num__vol_ratio_20d_vs_mkt,0.008371321466913757
num__sector_ret_20d,0.006821044738824021
num__sector_volatility_20d,0.0061545462338635825
cat__sector_Energy,0.0058140581415915904
num__rel_drawdown_60d_vs_mkt_xsrank,0.005293248790361331
num__sector_ret_120d,0.004752972894445063
num__volatility_60d,0.004554132548965125
num__intraday_range,0.004201113703513979
num__avg_intraday_range_20d,0.004117733320484473
cat__country_CA,0.003833459101556509
num__trailing_max_drawdown_252d,0.003820398764198007
num__rel_drawdown_252d_vs_sector,0.0037666140208998697
num__gap_open_prev_close,0.0037566385008542184
num__price_to_ma20,0.003721286299383838
num__trailing_max_drawdown_60d_xsrank,0.0034162854732731627
num__idio_vol_60d_vs_mkt,0.0032209218441830046
num__sector_ret_60d,0.0024366576603442264
num__beta_60d_vs_mkt,0.0024334833725022913
num__dist_from_252d_high_xsrank,0.002376654122421061
num__volume_spike_20d,0.0022990959148565604
num__rel_drawdown_60d_vs_mkt,0.0022557741890575317
num__downside_vol_60d,0.0020388741925215313
num__upside_vol_60d,0.0018764608893059032
num__corr_60d_vs_mkt,0.001634641518775671
num__trailing_max_drawdown_60d,0.0015604308853187266
num__idio_vol_60d_vs_sector,0.0014079565149131537
num__vol_ratio_20d_vs_sector,0.0013732367104355829
num__volatility_20d,0.001224326499269222
cat__country_US,0.0011441671653343334
num__trend_accel_20_60,0.001064626996233582
num__dist_from_252d_high,0.0010511225687545765
num__corr_60d_vs_sector,0.001023717661323326
num__si_chg_3period,0.0009723671648745197
num__ret_120d,0.0009323267316675479
num__ret_120d_xsrank,0.0009183656069280236
num__rel_drawdown_60d_vs_sector_xsrank,0.0008601607129102752
num__sir_zscore_1y,0.0008248702902621931
num__beta_60d_vs_sector,0.0007648005013146397
num__rel_ret_120d_vs_sector,0.0007454388243683991
num__days_since_252d_high,0.0007253819440029524
num__rel_drawdown_60d_vs_sector,0.0007173843675788057
num__dist_from_60d_high_xsrank,0.0007146954794874247
num__rel_ret_120d_vs_mkt,0.0007048811371031849
num__short_interest_ratio_xsrank,0.0006812931625506679
num__rel_slope_60d_vs_mkt,0.0006596983769912684
num__log_price_slope_20d,0.0005991308657318414
num__rel_ret_20d_vs_mkt,0.0005977220150707935
num__avg_volume_60d,0.0005903741249499578
num__si_chg_1period,0.0005717735207035362
num__rel_ret_120d_vs_mkt_xsrank,0.0005447754069048789
num__dist_from_60d_high,0.000524456506179771
num__price_to_ma60_xsrank,0.0005223041345043593
num__downside_upside_vol_ratio_60d,0.0005005283654594835
num__price_to_ma120_xsrank,0.0004853851474366422
cat__sector_Financials,0.00046142284522665344
num__rel_ret_60d_vs_sector_xsrank,0.00045585988476788637
num__return_skew_60d,0.00045145581126562474
num__ma60_to_ma120,0.00043951738571416547
num__avg_volume_20d,0.00041740335854589165
num__rel_ret_20d_vs_sector,0.0004112608511173996
num__rel_ret_60d_vs_mkt_xsrank,0.0003920971446607889
num__ret_20d_xsrank,0.0003865194189249183
num__log_price_slope_120d_xsrank,0.00037917000940518634
num__log_price_slope_60d,0.0003576804939558651
num__log_price_slope_60d_xsrank,0.00034643992653350024
num__log_price_slope_120d,0.00033770152057084276
num__ret_60d_xsrank,0.00032587612252603127
num__price_to_ma120,0.0003107524849027161
num__ret_60d,0.0002992832686959965
num__avg_dollar_volume_20d,0.0002857235384756895
num__short_interest_ratio,0.0002758162331531778
num__ret_20d,0.00026930163180875045
num__ma20_to_ma60,0.00026661933484294195
num__rel_ret_60d_vs_mkt,0.0002642286537219839
num__price_to_ma60,0.00025563578347922647
num__rel_slope_60d_vs_sector,0.0002356735304883518
num__return_skew_20d,0.00023158266635499677
num__days_since_60d_high,0.0002175414341206778
num__sir_zscore_1y_xsrank,0.00020332620820371567
num__rel_slope_20d_vs_sector,0.00018922376442548138
cat__sector_Health Care,0.0001732133328431215
num__rel_slope_20d_vs_mkt,0.00015979308373348229
num__rel_ret_60d_vs_sector,7.643300464578074e-05
cat__sector_Consumer Staples,5.359878027611839e-05
cat__sector_Industrials,4.7746238479269054e-05
cat__sector_Information Technology,4.7239459308528615e-05
cat__sector_Consumer Discretionary,3.6646272292739633e-05
cat__sector_Materials,2.398528401460026e-05
num__current_ratio,0.0
cat__sector_Real Estate,0.0
cat__sector_Utilities,0.0
cat__sector_Financial Services,0.0
num__debt_to_equity,0.0
cat__sector_Basic Materials,0.0
cat__sector_Consumer Cyclical,0.0
cat__sector_Communication Services,0.0
num__operating_margin,0.0
num__regime_mkt_uptrend,0.0
num__interest_coverage,0.0
num__revenue_growth_yoy,0.0
num__revenue_growth_decel,0.0
num__gross_margin,0.0
num__regime_mkt_stress,0.0
