n_estimators,max_depth,min_samples_leaf,max_features,train_pr_auc,train_roc_auc,validation_pr_auc,validation_roc_auc,validation_precision,validation_recall,validation_f1,train_positive_score_mean,validation_positive_score_mean
200,12,10,sqrt,0.9969178634237001,0.9996397692456509,0.2342178262569555,0.7029497368194928,0.30434782608695654,0.08211143695014662,0.12933025404157045,0.16330519083307377,0.14228716876260106
400,12,10,sqrt,0.9973317686124127,0.9996851210059595,0.22559602868296702,0.7044016912294463,0.22340425531914893,0.06158357771260997,0.09655172413793103,0.16291834870568006,0.1419808358069014
400,8,25,sqrt,0.976061897020164,0.9966568863777663,0.21802972849774688,0.7025002699004783,0.18695652173913044,0.12609970674486803,0.15061295971978983,0.22134074083404723,0.19159201842809215
200,8,25,sqrt,0.9756276785819677,0.9965300162634856,0.21731573627855671,0.7011915279892305,0.19047619047619047,0.12903225806451613,0.15384615384615385,0.22125911565554746,0.19283631035699908
400,4,25,sqrt,0.7981702817203886,0.9590203790144202,0.21509831061400342,0.717302934093608,0.15350877192982457,0.20527859237536658,0.17565872020075282,0.3249068124924108,0.2844808750718949
400,4,10,sqrt,0.8014419985723005,0.9603714596205722,0.21503214055837785,0.7166276320804811,0.14317673378076062,0.187683284457478,0.16243654822335024,0.32324793593522205,0.2814194330060388
200,8,10,sqrt,0.9898440007895617,0.9987112063051576,0.21487173835993253,0.7000965031914353,0.22485207100591717,0.11143695014662756,0.14901960784313725,0.19713425983669405,0.1640980060161859
400,8,10,sqrt,0.9905609510866212,0.9987915765132992,0.21399011913895352,0.692942488063789,0.20625,0.0967741935483871,0.1317365269461078,0.19701505337154213,0.16262822798800192
200,4,10,sqrt,0.8033641016170786,0.9597660997313914,0.21337718426990843,0.7165152653507275,0.2099009900990099,0.31085043988269795,0.25059101654846333,0.32482596145985787,0.28546767719966065
400,12,25,sqrt,0.9855784269736115,0.9981454574471321,0.21283554558527104,0.6950278823718633,0.18357487922705315,0.11143695014662756,0.1386861313868613,0.20497049334484563,0.181356524048736
200,4,25,sqrt,0.7964297431300502,0.9581475011467107,0.21187764993735567,0.7161776143441638,0.2122905027932961,0.3343108504398827,0.25968109339407747,0.32622103512341816,0.29038484708971724
200,12,25,sqrt,0.9848459955268418,0.9980682446400247,0.2113674865776301,0.6957142007310447,0.1834862385321101,0.11730205278592376,0.14311270125223613,0.20459959278623624,0.18420403241066155
200,12,10,0.5,0.99727688347785,0.9996713432559923,0.2063464276295827,0.6881333021937952,0.2336448598130841,0.1466275659824047,0.18018018018018017,0.15231395577145748,0.14951119326830406
400,12,10,0.5,0.9972677830722858,0.9996701951101618,0.20042445723442537,0.6732452613187447,0.21153846153846154,0.12903225806451613,0.16029143897996356,0.15296758950171618,0.14689352625514454
200,12,25,0.5,0.9854559336223832,0.9980946519941285,0.19584702979818439,0.6781381714187512,0.1925925925925926,0.15249266862170088,0.1702127659574468,0.18731634230940325,0.1878348234502715
200,8,10,0.5,0.9859740362117868,0.9981959758636784,0.1916714629375692,0.6630006103055714,0.1917808219178082,0.16422287390029325,0.1769352290679305,0.18205629529398934,0.16952501716131202
400,8,10,0.5,0.9863870743468683,0.9982264017281891,0.1914667082342189,0.6576141679023335,0.19424460431654678,0.15835777126099707,0.17447495961227788,0.18189814665940912,0.16860082299630014
400,12,25,0.5,0.9854611304161247,0.9980874760826872,0.18970701603557955,0.6657695688863137,0.2,0.15542521994134897,0.17491749174917492,0.18806486984528598,0.18758678493063968
400,4,25,0.5,0.7997189431382026,0.9609883009680591,0.18873651256932425,0.6908736182747961,0.20550161812297735,0.3724340175953079,0.264859228362878,0.29252299929056763,0.279665618149103
400,8,25,0.5,0.9695542885813206,0.9958345269266031,0.18795484232835358,0.6623814916573212,0.1723076923076923,0.16422287390029325,0.16816816816816818,0.20528915324048136,0.19831243374262342
200,8,25,0.5,0.9703851668041651,0.9959352767232377,0.18792827024501424,0.6653955639377709,0.17337461300309598,0.16422287390029325,0.1686746987951807,0.20445607273625574,0.19684337728582382
200,4,25,0.5,0.7934003226291448,0.9603011356884482,0.18488557873672537,0.6910129750523827,0.20602218700475436,0.3812316715542522,0.2674897119341564,0.29211829645904236,0.28175966684658116
400,4,10,0.5,0.7984027283853145,0.9607839310102133,0.1831646507894047,0.6861189633177709,0.20833333333333334,0.3812316715542522,0.2694300518134715,0.29058054855877086,0.27900271429297085
200,4,10,0.5,0.7898737908127308,0.9595066187736769,0.1815065718049463,0.6847617494838842,0.20307692307692307,0.3870967741935484,0.26639757820383453,0.29014348694864545,0.2819989937661212
