precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,model,split,model_type,mae,r2,top10_lift
0.0,0.0,0.0,0.5,0.09970413002067037,22213.0,0.0,2460.0,0.0,dummy,train,classifier,,,
0.0,0.0,0.0,0.5,0.10725068307266863,242768.0,0.0,29165.0,0.0,dummy,validation,classifier,,,
0.0,0.0,0.0,0.5,0.09090421183872646,220203.0,0.0,22019.0,0.0,dummy,test,classifier,,,
0.26754327116597343,0.8105691056910569,0.40230001008776356,0.8474830164274271,0.3870164639575164,16754.0,5459.0,466.0,1994.0,logistic_regression,train,classifier,,,
0.14721888867182048,0.36173495628321617,0.2092693425372172,0.5652005607728338,0.15463751841027823,181656.0,61112.0,18615.0,10550.0,logistic_regression,validation,classifier,,,
0.12556977780768003,0.6780961896543893,0.21189994678020224,0.6469701726288214,0.1507232791444173,116228.0,103975.0,7088.0,14931.0,logistic_regression,test,classifier,,,
0.5023839397741531,0.8138211382113821,0.6212567882079131,0.9350962173692327,0.7601980496344841,20230.0,1983.0,458.0,2002.0,random_forest,train,classifier,,,
0.2821461609620722,0.16732384707697584,0.21006865973612276,0.6237875419575152,0.19609680672042867,230352.0,12416.0,24285.0,4880.0,random_forest,validation,classifier,,,
0.20394519097107303,0.27984922112720834,0.2359427947849061,0.6826048847849399,0.1677880253995363,196151.0,24052.0,15857.0,6162.0,random_forest,test,classifier,,,
0.8867574257425742,0.582520325203252,0.7031403336604515,0.9531072224241353,0.8143889042114745,22030.0,183.0,1027.0,1433.0,hist_gradient_boosting,train,classifier,,,
0.17914831130690162,0.004183096176924396,0.008175299872679755,0.6060516049034514,0.1618918672755776,242209.0,559.0,29043.0,122.0,hist_gradient_boosting,validation,classifier,,,
0.1232638888888889,0.025795903537853673,0.04266346189957562,0.6662343336333845,0.14595055387349865,216163.0,4040.0,21451.0,568.0,hist_gradient_boosting,test,classifier,,,
0.387406015037594,0.8378048780487805,0.5298200514138818,0.9186930380986158,0.709648984172916,18954.0,3259.0,399.0,2061.0,ensemble_rf_lr,train,classifier,,,
0.1841229983039274,0.2866106634664838,0.22421007456681508,0.593553327422346,0.18020731714789115,205728.0,37040.0,20806.0,8359.0,ensemble_rf_lr,validation,classifier,,,
0.16142368159793738,0.4947545301784822,0.24342502178624897,0.6737306244714465,0.17457323065515265,163610.0,56593.0,11125.0,10894.0,ensemble_rf_lr,test,classifier,,,
,,,0.829392954173543,0.3962826492626429,,,,,ridge,train,regressor,0.06488581278163907,0.22808101692614657,4.397126470859522
,,,0.5959879368425708,0.16199019535937276,,,,,ridge,validation,regressor,0.07221535286861684,-0.22462371888731458,1.671138192525678
,,,0.6115822370054056,0.13690002428703077,,,,,ridge,test,regressor,0.07796434701210075,-0.3479252034786684,1.900114363631907
,,,0.9197654709631325,0.7361231443717241,,,,,rf_regressor,train,regressor,0.050916967345328426,0.5502284257003898,6.811075753383141
,,,0.6113534465247257,0.16041184717120377,,,,,rf_regressor,validation,regressor,0.06557738699336269,-0.069470980143028,1.915603012236554
,,,0.6421841941225577,0.12963049147062694,,,,,rf_regressor,test,regressor,0.06386328944541421,-0.030706470649988882,1.4823071899843558
,,,0.9336742400535245,0.7687366188361083,,,,,hgb_regressor,train,regressor,0.04602001705753582,0.63679680823131,7.123995104821389
,,,0.5883952741109455,0.14742219833124248,,,,,hgb_regressor,validation,regressor,0.06881048169064757,-0.17979576417333964,1.6783384186321695
,,,0.6313333271695556,0.12789653802755405,,,,,hgb_regressor,test,regressor,0.0668684741000899,-0.21584507030046174,1.5853965686995668
