fold,model,model_type,val_roc_auc,val_pr_auc,top10_lift,mae,r2
val_2020–2020,logistic_regression,classifier,0.7013685501509292,0.12093581951326536,2.5280008505832523,,
val_2020–2020,random_forest,classifier,0.6638176851844813,0.08839956585640907,2.090702515638868,,
val_2020–2020,hist_gradient_boosting,classifier,0.654247069853275,0.08257905503586117,1.7464168424128126,,
val_2020–2020,ensemble_rf_lr,classifier,0.7043660976235526,0.10909347584952321,2.54465983477161,,
val_2020–2020,ridge,regressor,0.6719874002672426,0.10778311864835667,2.237856875969359,0.09437327169763754,-1.4930676356108874
val_2020–2020,rf_regressor,regressor,0.6538507951286749,0.0779069826893266,1.3674249521276793,0.062429640334193945,-0.22626527041919053
val_2020–2020,hgb_regressor,regressor,0.6320870687818598,0.07678126853333239,1.7033811332595556,0.067666837714366,-0.6529870562021791
val_2021–2021,logistic_regression,classifier,0.5499424759159677,0.18962938719260813,1.3351936811237761,,
val_2021–2021,random_forest,classifier,0.6271969719842215,0.268311871709871,2.191741947689543,,
val_2021–2021,hist_gradient_boosting,classifier,0.5989335518618364,0.2132623924219701,1.6657995554084095,,
val_2021–2021,ensemble_rf_lr,classifier,0.5765586867803695,0.21997248271143208,1.701745258477983,,
val_2021–2021,ridge,regressor,0.5483822075913121,0.1903602717445994,1.3361396206782385,0.08321877790765507,-0.3438601060508626
val_2021–2021,rf_regressor,regressor,0.6286980619607914,0.21167217406354402,1.476138674738684,0.07623460429595033,-0.2169560478383985
val_2021–2021,hgb_regressor,regressor,0.5961513347427012,0.1928034961236031,1.2136404483753487,0.08146208412812589,-0.36181234800530215
val_2022–2022,logistic_regression,classifier,0.7024584782659117,0.15677770527356732,2.868939613441611,,
val_2022–2022,random_forest,classifier,0.6922118303110644,0.13905048191715533,2.8173874181311263,,
val_2022–2022,hist_gradient_boosting,classifier,0.6702409465773921,0.11515701383997645,2.2383243870854526,,
val_2022–2022,ensemble_rf_lr,classifier,0.718225209736338,0.16892639155389044,3.150678355254723,,
val_2022–2022,ridge,regressor,0.7076203119919053,0.158782841316366,2.8749340547567837,0.05844615820898391,-0.07243260792194417
val_2022–2022,rf_regressor,regressor,0.6952383882693851,0.1403120925219276,2.705890809668916,0.057709759720723126,0.001433949602119844
val_2022–2022,hgb_regressor,regressor,0.6825148243753798,0.12650581248614082,2.384588755175664,0.06017730523235727,-0.1027343263427114
val_2023–2023,logistic_regression,classifier,0.7078188269793613,0.16254320926905025,2.920415372598886,,
val_2023–2023,random_forest,classifier,0.7095732646304233,0.140497099929487,2.884829482599712,,
val_2023–2023,hist_gradient_boosting,classifier,0.6985654249873994,0.12602767505755758,2.6582659829383037,,
val_2023–2023,ensemble_rf_lr,classifier,0.7204637501786832,0.15642377633745047,3.0852966629283927,,
val_2023–2023,ridge,regressor,0.7060359665343615,0.15759801283022226,2.9583736552646718,0.07476871116371188,-0.43845667250263176
val_2023–2023,rf_regressor,regressor,0.6923828886468468,0.11492544701200705,2.1185466512841633,0.05973358737213804,-0.05146239040898681
val_2023–2023,hgb_regressor,regressor,0.6869505255926689,0.11994122841398185,2.2976622976133396,0.059157739761448516,-0.06981093671299643
